Ex-date,Type,Code,Company,Terms ($),Last buy price ($),Cost to buy 1000 shares ($),Dividend payout ($),Payout %
16/03/2023,Dividend,DTL,DATA#3 LIMITED,$0.10,7.36,7360.00,100.00,1.36 %
16/03/2023,Dividend,IGO,IGO LIMITED,$0.14,12.44,12440.00,140.00,1.13 %
16/03/2023,Dividend,PWH,PWR HOLDINGS LIMITED,$0.04,9.76,9760.00,40.00,0.41 %
16/03/2023,Dividend,REG,REGIS HEALTHCARE LIMITED,$0.02,1.52,1520.00,20.00,1.32 %
17/03/2023,Dividend,CAR,CARSALES.COM LIMITED.,$0.29,21.91,21910.00,290.00,1.32 %
20/03/2023,Dividend,ADH,ADAIRS LIMITED,$0.08,2.25,2250.00,80.00,3.56 %
20/03/2023,Dividend,HUB,HUB24 LIMITED,$0.14,28.49,28490.00,140.00,0.49 %
20/03/2023,Dividend,NWH,NRW HOLDINGS LIMITED,$0.09,2.33,2330.00,90.00,3.86 %
21/03/2023,Dividend,CCP,CREDIT CORP GROUP LIMITED,$0.23,17.86,17860.00,230.00,1.29 %
21/03/2023,Dividend,COH,COCHLEAR LIMITED,$1.55,226.81,226810.00,1550.00,0.68 %
21/03/2023,Dividend,REH,REECE LIMITED,$0.08,16.06,16060.00,80.00,0.50 %
22/03/2023,Dividend,SEK,SEEK LIMITED,$0.24,23.27,23270.00,240.00,1.03 %
22/03/2023,Dividend,SNL,SUPPLY NETWORK LIMITED,$0.20,12.10,12100.00,200.00,1.65 %
27/03/2023,Dividend,ACL,AUSTRALIAN CLINICAL LABS LIMITED,$0.07,3.71,3710.00,70.00,1.89 %
28/03/2023,Dividend,CWP,CEDAR WOODS PROPERTIES LIMITED,$0.13,4.31,4310.00,130.00,3.02 %
30/03/2023,Dividend,RFF,RURAL FUNDS GROUP,$0.03,2.12,2120.00,30.00,1.42 %
31/03/2023,Dividend,HVN,HARVEY NORMAN HOLDINGS LIMITED,$0.13,3.80,3800.00,130.00,3.42 %
5/04/2023,Dividend,ARB,ARB CORPORATION LIMITED.,$0.32,31.95,31950.00,320.00,1.00 %
5/04/2023,Dividend,IMD,IMDEX LIMITED,$0.02,2.09,2090.00,20.00,0.96 %
5/04/2023,Dividend,RIC,RIDLEY CORPORATION LIMITED,$0.04,2.12,2120.00,40.00,1.89 %
11/04/2023,Dividend,SVW,SEVEN GROUP HOLDINGS LIMITED,$0.23,23.54,23540.00,230.00,0.98 %
13/04/2023,Dividend,BST,BEST & LESS GROUP HOLDINGS LTD,$0.08,2.08,2080.00,80.00,3.85 %
15/05/2023,Dividend,WAM,WAM CAPITAL LIMITED,$0.08,1.66,1660.00,80.00,4.82 %
16/05/2023,Dividend,ASG,AUTOSPORTS GROUP LIMITED.,$0.09,2.18,2180.00,90.00,4.13 %
